AOID,Label
A1,Staré haly
A10,Dřevák
A4,Energetika
A5,Panalux
A6,Stillking
A7,Stará měnírna
AA,Osobní vrátnice
AC,Panavision
AE,Stříkárna barev
B2,FLB-krček
B3,Filmové laboratoře
B4,Trafo PC4
B5,Sklad
B6,Vodárna
B7,Dílny
BA,Modrák
BB,Sklady
C1,Krátký film
C10,Catering MAX
C3,Krátký film
C4,Střižny
C5,Modrá hala I.
C8,Ateliér MAX
C9,Modrá hala II.
CD,Zázemí skladu řeziva
CH,Taurus
DA,Koně
DE,Sklad rekvizit
DF,Klondaik
DG,Pacákova vila
DH,
EF,Sklad hořlavin
EG,Kompresorovna
EH,Plechová garáž
F1,Nové haly
F2,Ústřední dílny
FA,Domeček u AT4
FC,Zvuk
G1,Kotelna plynová
G2,Kotelna
G3,Uhelna
G4,Sklad nábytku
G5,Sklad kostýmů
GA,Vrátnice nákladní
GB,Sklad film. suroviny
J1,Klokočka
J2,Sklad plechový I.
J3,Sklad plechový II.
J4,Sklad plechový III.
J5,Flash
J6,Flash
J7,Sklad plech.hangar I.
J8,Sklad plech.hangar II.
JA,Plechová garáž
JB,Sklad olejů
19,
20,
21,
M1,
M2,
M4,
M5,
M6,
N7,
P2,
P3,
P5,
