AOID,Label
A1.1MP.500,500-chodba
A1.1MP.501,501-výrobní prostory
A1.1MP.502,502-sklad
A1.1MP.503,503-kancelář
A1.1MP.504,504-kancelář
A1.1MP.505,505-kancelář
A1.1MP.506,506-výrobní prostory
A1.1MP.507,507-kancelář
A1.1MP.508,508-kancelář
A1.1MP.509,509-WC
A1.1MP.510,510-WC
A1.1MP.511,511-chodba
A1.1MP.512,512-sociální zázemí
A1.1MP.513,513-sociální zázemí
A1.1MP.514,514-kancelář
A1.1MP.515A,515A-sklad
A1.1MP.515B,515B-sklad
A1.1MP.516,516-chodba
A1.1MP.517,517-kancelář
A1.1MP.518,518-chodba
A1.1MP.519,519-WC
A1.1MP.520,520-kancelář
A1.1MP.521,521-kancelář
A1.1MP.524,524-sklad
A1.1MP.525,525-sklad
A1.1MP.526,526-sklad
A1.1MP.527,527-výrobní prostory
A1.1MP.528,528-výrobní prostory
A1.1MP.529,529-sociální zázemí
A1.1MP.530,530-sklad
A1.1MP.531,531-sklad
A1.1MP.532,532-kancelář
A1.1MP.533,533-WC
A1.1MP.534,534-chodba
A1.1MP.535,535-kancelář
A1.1NP.100,100-chodba
A1.1NP.101,101-schody
A1.1NP.102,102-kancelář
A1.1NP.104,104-kancelář
A1.1NP.105,105-kancelář
A1.1NP.107,107-kancelář
A1.1NP.108,108-schody
A1.1NP.109,109-chodba
A1.1NP.110,110-kancelář
A1.1NP.113,113-kancelář
A1.1NP.114,114-kancelář
A1.1NP.115,115-kancelář
A1.1NP.116,116-kancelář
A1.1NP.117,117-kancelář
A1.1NP.118,118-výrobní prostory
A1.1NP.119,119-schody
A1.1NP.120,120-chodba
A1.1NP.121,121-chodba
A1.1NP.122,122-kancelář
A1.1NP.123,123-kancelář
A1.1NP.124,124-sklad
A1.1NP.126,126-kancelář
A1.1NP.127,127-chodba
A1.1NP.128,128-WC
A1.1NP.129,129-WC
A1.1NP.130,130-schody
A1.1NP.131,131-chodba
A1.1NP.131A,131A-sociální zázemí
A1.1NP.132,132-WC
A1.1NP.133,133-WC
A1.1NP.134,134-WC
A1.1NP.134A,134A-WC
A1.1NP.135,135-sklad
A1.1NP.136,136-sklad
A1.1NP.137,137-sklad
A1.1NP.138,138-chodba
A1.1NP.139,139-schody
A1.1NP.140,140-chodba
A1.1NP.141,141-sklad
A1.1NP.142,142-sklad
A1.1NP.142A,142A-sklad
A1.1NP.143,143-sociální zázemí
A1.1NP.151,151-kancelář
A1.1NP.152,152-kancelář
A1.1NP.153,153-kancelář
A1.1NP.154,154-kancelář
A1.1NP.155,155-chodba
A1.1NP.156,156-chodba
A1.1NP.157,157-schody
A1.1NP.158,158-výrobní prostory
A1.1NP.159,159-schody
A1.1NP.160,160-jídelna
A1.1NP.161,161-kuchyň
A1.1NP.162,162-kuchyň
A1.1NP.163,163-chodba
A1.1NP.164,164-WC
A1.1NP.165,165-WC
A1.1NP.166,166-WC
A1.1NP.167,167-výrobní prostory
A1.1NP.168,168-výrobní prostory
A1.1NP.169,169-chodba
A1.1NP.170,170-schody
A1.1NP.171,171-chodba
A1.1NP.172,172-WC
A1.1NP.173,173-WC
A1.1NP.174,174-WC
A1.1NP.175,175-kancelář
A1.1NP.176,176-sklad
A1.1NP.177,177-sociální zázemí
A1.1NP.178,178-kancelář
A1.1NP.179,179-schody
A1.1NP.180,180-kancelář
